State,Year,Employment
Alabama,2008,2582600.0
Alabama,2009,2479511.0
Alabama,2010,2460305.0
Alabama,2011,2497974.0
Alabama,2012,2503656.0
Alabama,2013,2523020.0
Alabama,2014,2552256.0
Alabama,2015,2587641.0
Alabama,2016,2619761.0
Alabama,2017,2649222.0
Alabama,2018,2692424.0
Alabama,2019,2712014.0
Alabama,2020,2670980.0
Alabama,2021,2769117.0
Alabama,2022,2857149.0
Alabama,2023,2931413.0
Alabama,2024,2969241.0
Alaska,2008,443602.0
Alaska,2009,442505.0
Alaska,2010,443940.0
Alaska,2011,450420.0
Alaska,2012,459282.0
Alaska,2013,461205.0
Alaska,2014,461371.0
Alaska,2015,461707.0
Alaska,2016,457142.0
Alaska,2017,455550.0
Alaska,2018,454776.0
Alaska,2019,454794.0
Alaska,2020,430889.0
Alaska,2021,443016.0
Alaska,2022,454025.0
Alaska,2023,467104.0
Alaska,2024,474188.0
Arizona,2008,3402806.0
Arizona,2009,3228516.0
Arizona,2010,3181563.0
Arizona,2011,3239037.0
Arizona,2012,3295532.0
Arizona,2013,3371101.0
Arizona,2014,3448146.0
Arizona,2015,3547647.0
Arizona,2016,3644791.0
Arizona,2017,3740747.0
Arizona,2018,3854741.0
Arizona,2019,3929587.0
Arizona,2020,3919887.0
Arizona,2021,4085773.0
Arizona,2022,4250495.0
Arizona,2023,4404247.0
Arizona,2024,4457506.0
Arkansas,2008,1579250.0
Arkansas,2009,1542904.0
Arkansas,2010,1541250.0
Arkansas,2011,1561929.0
Arkansas,2012,1565109.0
Arkansas,2013,1569358.0
Arkansas,2014,1587408.0
Arkansas,2015,1610799.0
Arkansas,2016,1629734.0
Arkansas,2017,1639903.0
Arkansas,2018,1658212.0
Arkansas,2019,1663305.0
Arkansas,2020,1639041.0
Arkansas,2021,1684580.0
Arkansas,2022,1744586.0
Arkansas,2023,1789021.0
Arkansas,2024,1805358.0
California,2008,20654365.0
California,2009,19837727.0
California,2010,19642544.0
California,2011,19986185.0
California,2012,20666919.0
California,2013,21318697.0
California,2014,21996861.0
California,2015,22687175.0
California,2016,23177961.0
California,2017,23548874.0
California,2018,24077466.0
California,2019,24224461.0
California,2020,23156746.0
California,2021,23932245.0
California,2022,24941794.0
California,2023,25260641.0
California,2024,25583169.0
Colorado,2008,3251120.0
Colorado,2009,3164474.0
Colorado,2010,3143662.0
Colorado,2011,3204104.0
Colorado,2012,3262912.0
Colorado,2013,3357156.0
Colorado,2014,3467715.0
Colorado,2015,3574253.0
Colorado,2016,3666709.0
Colorado,2017,3760708.0
Colorado,2018,3857981.0
Colorado,2019,3894321.0
Colorado,2020,3821182.0
Colorado,2021,3987514.0
Colorado,2022,4108115.0
Colorado,2023,4250108.0
Colorado,2024,4267582.0
Connecticut,2008,2256077.0
Connecticut,2009,2196171.0
Connecticut,2010,2171940.0
Connecticut,2011,2206253.0
Connecticut,2012,2223243.0
Connecticut,2013,2246505.0
Connecticut,2014,2266061.0
Connecticut,2015,2288144.0
Connecticut,2016,2301331.0
Connecticut,2017,2300273.0
Connecticut,2018,2314465.0
Connecticut,2019,2297925.0
Connecticut,2020,2217480.0
Connecticut,2021,2289367.0
Connecticut,2022,2353654.0
Connecticut,2023,2420056.0
Connecticut,2024,2430624.0
Delaware,2008,544865.0
Delaware,2009,525596.0
Delaware,2010,522361.0
Delaware,2011,530360.0
Delaware,2012,534253.0
Delaware,2013,544691.0
Delaware,2014,556449.0
Delaware,2015,568832.0
Delaware,2016,578605.0
Delaware,2017,584693.0
Delaware,2018,597021.0
Delaware,2019,602769.0
Delaware,2020,592176.0
Delaware,2021,619925.0
Delaware,2022,642859.0
Delaware,2023,669568.0
Delaware,2024,674338.0
District of Columbia,2008,794904.0
District of Columbia,2009,795923.0
District of Columbia,2010,809128.0
District of Columbia,2011,826749.0
District of Columbia,2012,834391.0
District of Columbia,2013,848230.0
District of Columbia,2014,860668.0
District of Columbia,2015,873204.0
District of Columbia,2016,892796.0
District of Columbia,2017,902843.0
District of Columbia,2018,914319.0
District of Columbia,2019,915216.0
District of Columbia,2020,866078.0
District of Columbia,2021,869737.0
District of Columbia,2022,895905.0
District of Columbia,2023,908658.0
District of Columbia,2024,914851.0
Florida,2008,10269510.0
Florida,2009,9841868.0
Florida,2010,9805140.0
Florida,2011,10036679.0
Florida,2012,10249034.0
Florida,2013,10539527.0
Florida,2014,10937534.0
Florida,2015,11367164.0
Florida,2016,11682273.0
Florida,2017,12098388.0
Florida,2018,12556216.0
Florida,2019,12760885.0
Florida,2020,12719408.0
Florida,2021,13456896.0
Florida,2022,14219768.0
Florida,2023,14959611.0
Florida,2024,14957046.0
Georgia,2008,5451004.0
Georgia,2009,5247101.0
Georgia,2010,5211443.0
Georgia,2011,5325710.0
Georgia,2012,5384734.0
Georgia,2013,5497190.0
Georgia,2014,5671135.0
Georgia,2015,5832928.0
Georgia,2016,5973764.0
Georgia,2017,6128089.0
Georgia,2018,6287460.0
Georgia,2019,6398769.0
Georgia,2020,6326540.0
Georgia,2021,6638744.0
Georgia,2022,6939403.0
Georgia,2023,7094400.0
Georgia,2024,7180379.0
Hawaii,2008,858384.0
Hawaii,2009,829885.0
Hawaii,2010,824450.0
Hawaii,2011,834994.0
Hawaii,2012,849130.0
Hawaii,2013,868191.0
Hawaii,2014,882702.0
Hawaii,2015,901126.0
Hawaii,2016,914921.0
Hawaii,2017,921135.0
Hawaii,2018,924352.0
Hawaii,2019,913949.0
Hawaii,2020,817466.0
Hawaii,2021,860689.0
Hawaii,2022,895965.0
Hawaii,2023,918356.0
Hawaii,2024,928210.0
Idaho,2008,921093.0
Idaho,2009,880489.0
Idaho,2010,868683.0
Idaho,2011,878537.0
Idaho,2012,883162.0
Idaho,2013,903016.0
Idaho,2014,925548.0
Idaho,2015,949392.0
Idaho,2016,976719.0
Idaho,2017,1007831.0
Idaho,2018,1041387.0
Idaho,2019,1063420.0
Idaho,2020,1077556.0
Idaho,2021,1136875.0
Idaho,2022,1179749.0
Idaho,2023,1217054.0
Idaho,2024,1230617.0
Illinois,2008,7553123.0
Illinois,2009,7304369.0
Illinois,2010,7251061.0
Illinois,2011,7376147.0
Illinois,2012,7434721.0
Illinois,2013,7503553.0
Illinois,2014,7613604.0
Illinois,2015,7748859.0
Illinois,2016,7804672.0
Illinois,2017,7823072.0
Illinois,2018,7880803.0
Illinois,2019,7859167.0
Illinois,2020,7520041.0
Illinois,2021,7749971.0
Illinois,2022,7992113.0
Illinois,2023,8170725.0
Illinois,2024,8216215.0
Indiana,2008,3682921.0
Indiana,2009,3523023.0
Indiana,2010,3525292.0
Indiana,2011,3590103.0
Indiana,2012,3642274.0
Indiana,2013,3684167.0
Indiana,2014,3740470.0
Indiana,2015,3796439.0
Indiana,2016,3847508.0
Indiana,2017,3903424.0
Indiana,2018,3963724.0
Indiana,2019,3969443.0
Indiana,2020,3843285.0
Indiana,2021,3977987.0
Indiana,2022,4101252.0
Indiana,2023,4193182.0
Indiana,2024,4214670.0
