State,Year,employment_pc
Alabama,2008,0.547369063580522
Alabama,2009,0.5211314228979024
Alabama,2010,0.5138379668740909
Alabama,2011,0.5190513355009874
Alabama,2012,0.5172899620595018
Alabama,2013,0.5185794037843459
Alabama,2014,0.5221732586133067
Alabama,2015,0.5271028117340238
Alabama,2016,0.531221541822609
Alabama,2017,0.5348618318724289
Alabama,2018,0.540963712114393
Alabama,2019,0.5419932698852746
Alabama,2020,0.530697430260749
Alabama,2021,0.5483337023059933
Alabama,2022,0.5627778780145555
Alabama,2023,0.5727821253065252
Alabama,2024,0.5750938155801169
Alaska,2008,0.6452815093351565
Alaska,2009,0.633149471665987
Alaska,2010,0.6217516438730278
Alaska,2011,0.62340746810092
Alaska,2012,0.6282016561210002
Alaska,2013,0.6248933004902081
Alaska,2014,0.6254741511372849
Alaska,2015,0.624671230652668
Alaska,2016,0.6149365682132159
Alaska,2017,0.6140009192155129
Alaska,2018,0.6164698865407816
Alaska,2019,0.6189189189189189
Alaska,2020,0.5879185052380523
Alaska,2021,0.6030792687077146
Alaska,2022,0.6188501742635203
Alaska,2023,0.6358149550672834
Alaska,2024,0.6438074394090182
Arizona,2008,0.5418168570537812
Arizona,2009,0.5089764492553704
Arizona,2010,0.497017951342414
Arizona,2011,0.5027095408804192
Arizona,2012,0.5068645605832232
Arizona,2013,0.514206688727115
Arizona,2014,0.5200909819016605
Arizona,2015,0.5290568027622257
Arizona,2016,0.5365290512179834
Arizona,2017,0.5443160884584379
Arizona,2018,0.5535001364099766
Arizona,2019,0.5559927246436073
Arizona,2020,0.5454403145166307
Arizona,2021,0.5616937919626859
Arizona,2022,0.5767242215638533
Arizona,2023,0.5910096425518108
Arizona,2024,0.5898962260455475
Arkansas,2008,0.5493895748697015
Arkansas,2009,0.532615678516233
Arkansas,2010,0.5275460321350408
Arkansas,2011,0.5314901831478648
Arkansas,2012,0.5307625865905135
Arkansas,2013,0.5311641687789361
Arkansas,2014,0.5360963171847825
Arkansas,2015,0.5423182199238438
Arkansas,2016,0.5468034457594847
Arkansas,2017,0.5483338025654177
Arkansas,2018,0.5532546264090258
Arkansas,2019,0.5536587704038938
Arkansas,2020,0.5437372424818346
Arkansas,2021,0.5564946564845149
Arkansas,2022,0.5724779806190726
Arkansas,2023,0.5827703318983041
Arkansas,2024,0.5831109015270923
California,2008,0.5642600492941587
California,2009,0.5367171908704659
California,2010,0.5262919658459317
California,2011,0.5308244791694886
California,2012,0.5442757567192918
California,2013,0.5567321346547842
California,2014,0.5693149395245609
California,2015,0.582215990842904
California,2016,0.5909159107499788
California,2017,0.5973185329916322
California,2018,0.6090022946222069
California,2019,0.6125332270321163
California,2020,0.5858343068252102
California,2021,0.6112504692177931
California,2022,0.6374842886377468
California,2023,0.6447056221472149
California,2024,0.6499000603940975
Colorado,2008,0.664887427322163
Colorado,2009,0.6364340095269795
Colorado,2010,0.6228862389160297
Colorado,2011,0.6259437446435587
Colorado,2012,0.6289176138110409
Colorado,2013,0.637902896195391
Colorado,2014,0.6491159467276851
Colorado,2015,0.6568564787486869
Colorado,2016,0.6632363873810484
Colorado,2017,0.6715987738486526
Colorado,2018,0.679590756815582
Colorado,2019,0.678950283631028
Colorado,2020,0.6603189667373035
Colorado,2021,0.6858035129527406
Colorado,2022,0.7018393724624595
Colorado,2023,0.7188659459020608
Colorado,2024,0.7126293019523079
Connecticut,2008,0.6363070742465476
Connecticut,2009,0.6165889954172138
Connecticut,2010,0.606639534718085
Connecticut,2011,0.6138402601315849
Connecticut,2012,0.6166741789324631
Connecticut,2013,0.6222595297041359
Connecticut,2014,0.626921659587936
Connecticut,2015,0.6335030597545718
Connecticut,2016,0.6379094326610331
Connecticut,2017,0.6376274757106624
Connecticut,2018,0.6409078460546257
Connecticut,2019,0.6370502557016888
Connecticut,2020,0.6194695951523658
Connecticut,2021,0.6345665529767044
Connecticut,2022,0.6504129790005104
Connecticut,2023,0.6646005938975149
Connecticut,2024,0.6614934647344405
Delaware,2008,0.6164509873579266
Delaware,2009,0.5894115931952497
Delaware,2010,0.5805475381012767
Delaware,2011,0.5839554293012706
Delaware,2012,0.5828295081895677
Delaware,2013,0.5884073094639323
Delaware,2014,0.5949557243942443
Delaware,2015,0.6021195787940503
Delaware,2016,0.6070476086559666
Delaware,2017,0.6080392760429449
Delaware,2018,0.6147554656737565
Delaware,2019,0.6142305419120794
Delaware,2020,0.5970178144753955
Delaware,2021,0.6167610159879816
Delaware,2022,0.6300815757258553
Delaware,2023,0.6467044122107029
Delaware,2024,0.6421514432118904
District of Columbia,2008,1.369966703203524
District of Columbia,2009,1.3439469258461267
District of Columbia,2010,1.3380253275080285
District of Columbia,2011,1.3389406687018697
District of Columbia,2012,1.3230797773066536
District of Columbia,2013,1.3167122785829932
District of Columbia,2014,1.3160342881957718
District of Columbia,2015,1.3128222090252355
District of Columbia,2016,1.325748261135563
District of Columbia,2017,1.3264033966532975
District of Columbia,2018,1.3338453862717294
District of Columbia,2019,1.3315719024617354
District of Columbia,2020,1.2908080684633016
District of Columbia,2021,1.2988186136668076
District of Columbia,2022,1.3282485867330072
District of Columbia,2023,1.3312519503808462
District of Columbia,2024,1.3233585511565
Florida,2008,0.554290545764751
Florida,2009,0.5276392987503541
Florida,2010,0.5203762470873543
Florida,2011,0.5272229234634522
Florida,2012,0.5319129037936802
Florida,2013,0.5404074198499835
Florida,2014,0.5526759564447729
Florida,2015,0.5643967275888899
Florida,2016,0.5689379969964166
Florida,2017,0.5797485999721588
Florida,2018,0.5942032298147463
Florida,2019,0.5976066016900416
Florida,2020,0.5890980752686553
Florida,2021,0.6162514131028418
Florida,2022,0.6344148736755425
Florida,2023,0.6524248418439191
Florida,2024,0.6428758766393886
Georgia,2008,0.5734975317319813
Georgia,2009,0.5453887319264855
Georgia,2010,0.5365642994637079
Georgia,2011,0.5431257805436163
Georgia,2012,0.5435144969592974
Georgia,2013,0.5507714140179054
Georgia,2014,0.5627168246340865
Georgia,2015,0.5723094940380176
Georgia,2016,0.5789296182169814
Georgia,2017,0.5876090508122944
Georgia,2018,0.5969386607089199
Georgia,2019,0.6012127290321253
Georgia,2020,0.5894697414744523
Georgia,2021,0.6150950269979593
Georgia,2022,0.6348955241687276
Georgia,2023,0.6412339342400789
Georgia,2024,0.6408644859145778
Hawaii,2008,0.6443293977764817
Hawaii,2009,0.6162282053319295
Hawaii,2010,0.603940907629163
Hawaii,2011,0.6028223841471735
Hawaii,2012,0.6042533205717112
Hawaii,2013,0.6099652578960125
Hawaii,2014,0.6154136829709905
Hawaii,2015,0.6229906004485458
Hawaii,2016,0.6280278360479292
Hawaii,2017,0.6317100786538661
Hawaii,2018,0.6331329860647344
Hawaii,2019,0.6273059412756711
