State,Year,GDP
Alabama,1997,105381400000.0
Alabama,1998,110838800000.0
Alabama,1999,116514300000.0
Alabama,2000,120522600000.0
Alabama,2001,123534500000.0
Alabama,2002,128380900000.0
Alabama,2003,135212600000.0
Alabama,2004,148379100000.0
Alabama,2005,158677300000.0
Alabama,2006,166048200000.0
Alabama,2007,172247000000.0
Alabama,2008,174665600000.0
Alabama,2009,170876500000.0
Alabama,2010,177510700000.0
Alabama,2011,182896700000.0
Alabama,2012,188280700000.0
Alabama,2013,193981500000.0
Alabama,2014,197064400000.0
Alabama,2015,203113300000.0
Alabama,2016,208824300000.0
Alabama,2017,216615500000.0
Alabama,2018,226263800000.0
Alabama,2019,234798200000.0
Alabama,2020,235859000000.0
Alabama,2021,260325000000.0
Alabama,2022,286873300000.0
Alabama,2023,309543800000.0
Alabama,2024,325345100000.0
Alaska,1997,25859100000.0
Alaska,1998,24387800000.0
Alaska,1999,24920400000.0
Alaska,2000,26934000000.0
Alaska,2001,28660900000.0
Alaska,2002,29884500000.0
Alaska,2003,32115800000.0
Alaska,2004,35389500000.0
Alaska,2005,40459900000.0
Alaska,2006,44951700000.0
Alaska,2007,49456400000.0
Alaska,2008,55246700000.0
Alaska,2009,50165900000.0
Alaska,2010,53654000000.0
Alaska,2011,56912300000.0
Alaska,2012,58320700000.0
Alaska,2013,57533000000.0
Alaska,2014,56587400000.0
Alaska,2015,51574200000.0
Alaska,2016,51121800000.0
Alaska,2017,53550900000.0
Alaska,2018,54762000000.0
Alaska,2019,54549600000.0
Alaska,2020,51861700000.0
Alaska,2021,59363000000.0
Alaska,2022,65682500000.0
Alaska,2023,68232700000.0
Alaska,2024,71567200000.0
Arizona,1997,132694799999.99998
Arizona,1998,144393200000.0
Arizona,1999,156442100000.0
Arizona,2000,165735600000.0
Arizona,2001,172899600000.0
Arizona,2002,180844500000.0
Arizona,2003,194318000000.0
Arizona,2004,207246300000.0
Arizona,2005,227997800000.0
Arizona,2006,246061100000.0
Arizona,2007,261152800000.0
Arizona,2008,261005800000.0
Arizona,2009,244862200000.0
Arizona,2010,250527000000.0
Arizona,2011,261691400000.0
Arizona,2012,272703300000.0
Arizona,2013,278679500000.0
Arizona,2014,286676000000.0
Arizona,2015,298942200000.0
Arizona,2016,313787100000.0
Arizona,2017,333099000000.0
Arizona,2018,353671000000.0
Arizona,2019,375376700000.0
Arizona,2020,390503200000.0
Arizona,2021,438136000000.0
Arizona,2022,488722200000.0
Arizona,2023,530105000000.0
Arizona,2024,570088600000.0
Arkansas,1997,59925000000.0
Arkansas,1998,62852000000.0
Arkansas,1999,67279000000.0
Arkansas,2000,69176300000.0
Arkansas,2001,71099600000.0
Arkansas,2002,74453100000.0
Arkansas,2003,79009700000.0
Arkansas,2004,85928600000.0
Arkansas,2005,91133400000.0
Arkansas,2006,96073700000.0
Arkansas,2007,98325000000.0
Arkansas,2008,100206700000.0
Arkansas,2009,97783900000.0
Arkansas,2010,101699300000.0
Arkansas,2011,105697600000.0
Arkansas,2012,108836000000.0
Arkansas,2013,114021100000.0
Arkansas,2014,117388700000.0
Arkansas,2015,118573600000.0
Arkansas,2016,120987400000.0
Arkansas,2017,123882600000.0
Arkansas,2018,129213800000.0
Arkansas,2019,132625799999.99998
Arkansas,2020,136145900000.0
Arkansas,2021,154261800000.0
Arkansas,2022,167863500000.0
Arkansas,2023,178114800000.0
Arkansas,2024,188339600000.0
California,1997,1068048600000.0001
California,1998,1143672500000.0
California,1999,1239773500000.0
California,2000,1354791300000.0
California,2001,1373270800000.0
California,2002,1419321800000.0
California,2003,1498578000000.0
California,2004,1585081400000.0
California,2005,1698858400000.0
California,2006,1812161600000.0
California,2007,1900220400000.0
California,2008,1946241500000.0
California,2009,1879809500000.0
California,2010,1938603300000.0
California,2011,2014050300000.0
California,2012,2108873100000.0
California,2013,2223300900000.0
California,2014,2342218800000.0
California,2015,2487156400000.0
California,2016,2586485200000.0
California,2017,2740550300000.0
California,2018,2899530900000.0
California,2019,3068629700000.0
California,2020,3072927600000.0
California,2021,3418256100000.0
California,2022,3618289700000.0
California,2023,3827007300000.0
California,2024,4048108100000.0
Colorado,1997,136624400000.0
Colorado,1998,149653700000.0
Colorado,1999,162411700000.0
Colorado,2000,179303300000.0
Colorado,2001,185848900000.0
Colorado,2002,189604600000.0
Colorado,2003,195137600000.0
Colorado,2004,203743300000.0
Colorado,2005,220803800000.0
Colorado,2006,232853600000.0
Colorado,2007,248571600000.0
Colorado,2008,257606100000.0
Colorado,2009,249817100000.0
Colorado,2010,256771800000.0
Colorado,2011,266114099999.99997
Colorado,2012,274738800000.0
Colorado,2013,291265300000.0
Colorado,2014,309223900000.0
Colorado,2015,320895900000.0
Colorado,2016,330565900000.0
Colorado,2017,350209100000.0
Colorado,2018,373923100000.0
Colorado,2019,397843600000.0
Colorado,2020,396981100000.0
Colorado,2021,445781300000.0
Colorado,2022,499197400000.0
Colorado,2023,533268600000.0
Colorado,2024,557633000000.0
Connecticut,1997,138467000000.0
Connecticut,1998,145299200000.0
Connecticut,1999,152093700000.0
Connecticut,2000,165523400000.0
Connecticut,2001,171124400000.0
Connecticut,2002,172929700000.0
Connecticut,2003,177814800000.0
Connecticut,2004,194722900000.0
Connecticut,2005,204504600000.0
Connecticut,2006,219812200000.0
Connecticut,2007,232626800000.0
Connecticut,2008,236110700000.0
Connecticut,2009,231628000000.0
Connecticut,2010,234022200000.0
Connecticut,2011,233058700000.0
Connecticut,2012,239907500000.0
Connecticut,2013,240549200000.0
Connecticut,2014,247114700000.0
Connecticut,2015,260648500000.0
Connecticut,2016,264760400000.00003
Connecticut,2017,273875099999.99997
Connecticut,2018,280535400000.0
Connecticut,2019,286451900000.0
Connecticut,2020,278747900000.0
Connecticut,2021,297366000000.0
Connecticut,2022,321625200000.0
Connecticut,2023,341851800000.0
Connecticut,2024,356834900000.0
Delaware,1997,33302199999.999996
Delaware,1998,37170600000.0
Delaware,1999,40446500000.0
Delaware,2000,43559600000.0
Delaware,2001,46373800000.0
Delaware,2002,45865400000.0
Delaware,2003,47839600000.0
Delaware,2004,51674100000.0
Delaware,2005,52048600000.0
Delaware,2006,55567700000.0
Delaware,2007,56705600000.0
Delaware,2008,55250800000.0
Delaware,2009,57729900000.0
Delaware,2010,58132200000.0
Delaware,2011,61379400000.0
Delaware,2012,62342100000.0
Delaware,2013,62058200000.0
Delaware,2014,68606000000.0
Delaware,2015,72352500000.0
Delaware,2016,70021500000.0
Delaware,2017,69555600000.0
Delaware,2018,73376000000.0
Delaware,2019,78710500000.0
Delaware,2020,77757200000.0
Delaware,2021,83554700000.0
Delaware,2022,97030400000.0
Delaware,2023,103332500000.0
Delaware,2024,110971800000.0
District of Columbia,1997,52581600000.0
District of Columbia,1998,54877400000.0
District of Columbia,1999,58948800000.0
District of Columbia,2000,61267700000.0
District of Columbia,2001,65620000000.0
District of Columbia,2002,70078000000.0
District of Columbia,2003,74047000000.0
District of Columbia,2004,80600700000.0
District of Columbia,2005,85414500000.0
District of Columbia,2006,88350900000.0
District of Columbia,2007,94013800000.0
District of Columbia,2008,99240400000.0
District of Columbia,2009,100430100000.0
District of Columbia,2010,106128600000.0
District of Columbia,2011,109953900000.0
District of Columbia,2012,112512700000.0
District of Columbia,2013,114832700000.0
District of Columbia,2014,119998000000.0
District of Columbia,2015,124753600000.0
District of Columbia,2016,129933500000.0
District of Columbia,2017,134298799999.99998
District of Columbia,2018,141240200000.0
District of Columbia,2019,145071400000.0
District of Columbia,2020,146854600000.0
District of Columbia,2021,156581300000.0
District of Columbia,2022,165106200000.0
District of Columbia,2023,174250700000.0
District of Columbia,2024,184297700000.0
Florida,1997,401744200000.0
Florida,1998,428595600000.0
Florida,1999,457607000000.0
Florida,2000,490094400000.0
Florida,2001,519140700000.0
Florida,2002,553359900000.0
Florida,2003,590284800000.0
Florida,2004,647041800000.0
Florida,2005,704890300000.0
Florida,2006,749925000000.0
Florida,2007,781947300000.0
Florida,2008,767357800000.0
Florida,2009,739322400000.0
Florida,2010,752998400000.0
Florida,2011,761043100000.0
Florida,2012,784545900000.0
Florida,2013,819679800000.0
Florida,2014,860112600000.0
Florida,2015,918464300000.0
Florida,2016,964500800000.0
Florida,2017,1014866900000.0
Florida,2018,1072085600000.0001
Florida,2019,1133718000000.0
Florida,2020,1144653200000.0
Florida,2021,1300807800000.0
Florida,2022,1473688100000.0
Florida,2023,1624642300000.0
Florida,2024,1726709900000.0
Georgia,1997,242371900000.0
Georgia,1998,265146400000.00003
Georgia,1999,289048900000.0
Georgia,2000,305323700000.0
Georgia,2001,316872700000.0
Georgia,2002,326017900000.0
Georgia,2003,339540500000.0
Georgia,2004,364530100000.0
Georgia,2005,388707200000.0
Georgia,2006,405664200000.0
Georgia,2007,419384800000.0
Georgia,2008,416303500000.0
Georgia,2009,409876200000.0
Georgia,2010,419013100000.0
Georgia,2011,433137100000.0
Georgia,2012,449375600000.0
Georgia,2013,467559500000.0
Georgia,2014,493370300000.0
Georgia,2015,525516800000.00006
Georgia,2016,554903200000.0
Georgia,2017,583543300000.0
Georgia,2018,612803400000.0
Georgia,2019,646695800000.0
Georgia,2020,638488300000.0
Georgia,2021,706004600000.0
Georgia,2022,785922700000.0
Georgia,2023,835755300000.0
Georgia,2024,881508200000.0
Hawaii,1997,37701700000.0
Hawaii,1998,37503000000.0
Hawaii,1999,38970400000.0
Hawaii,2000,41089400000.0
Hawaii,2001,42500200000.0
Hawaii,2002,44949500000.0
Hawaii,2003,48420700000.0
Hawaii,2004,52625700000.0
Hawaii,2005,57211800000.0
Hawaii,2006,60848000000.0
Hawaii,2007,64106000000.0
