State,Year,gdp_pc
Alabama,2008,37019.49
Alabama,2009,35913.98
Alabama,2010,37073.35
Alabama,2011,38003.91
Alabama,2012,38901.4
Alabama,2013,39870.79
Alabama,2014,40317.96
Alabama,2015,41374.21
Alabama,2016,42344.31
Alabama,2017,43733.35
Alabama,2018,45461.08
Alabama,2019,46924.18
Alabama,2020,46862.86
Alabama,2021,51548.91
Alabama,2022,56505.96
Alabama,2023,60483.17
Alabama,2024,63014.07
Alaska,2008,80364.1
Alaska,2009,71778.88
Alaska,2010,75144.08
Alaska,2011,78769.93
Alaska,2012,79770.51
Alaska,2013,77952.29
Alaska,2014,76714.74
Alaska,2015,69777.84
Alaska,2016,68767.83
Alaska,2017,72177.15
Alaska,2018,74232.42
Alaska,2019,74235.32
Alaska,2020,70761.73
Alaska,2021,80811.06
Alaska,2022,89527.29
Alaska,2023,92877.33
Alaska,2024,97167.15
Arizona,2008,41559.04
Arizona,2009,38602.59
Arizona,2010,39136.87
Arizona,2011,40615.39
Arizona,2012,41942.74
Arizona,2013,42508.03
Arizona,2014,43239.93
Arizona,2015,44580.93
Arizona,2016,46190.82
Arizona,2017,48469.23
Arizona,2018,50783.42
Arizona,2019,53111.62
Arizona,2020,54337.33
Arizona,2021,60232.98
Arizona,2022,66311.79
Arizona,2023,71135.24
Arizona,2024,75444.23
Arkansas,2008,34859.91
Arkansas,2009,33755.33
Arkansas,2010,34810.1
Arkansas,2011,35966.58
Arkansas,2012,36908.66
Arkansas,2013,38591.53
Arkansas,2014,39644.28
Arkansas,2015,39920.95
Arkansas,2016,40593.33
Arkansas,2017,41422.58
Arkansas,2018,43111.58
Arkansas,2019,44146.71
Arkansas,2020,45165.19
Arkansas,2021,50959.8
Arkansas,2022,55083.65
Arkansas,2023,58020.57
Arkansas,2024,60831.63
California,2008,53169.7
California,2009,50858.96
California,2010,51941.91
California,2011,53492.31
California,2012,55538.44
California,2013,58060.92
California,2014,60620.47
California,2015,63827.35
California,2016,65941.75
California,2017,69514.21
California,2018,73339.15
California,2019,77592.55
California,2020,77740.91
California,2021,87305.25
California,2022,92479.43
California,2023,97673.42
California,2024,102835.8
Colorado,2008,52683.09
Colorado,2009,50242.82
Colorado,2010,50876.85
Colorado,2011,51987.22
Colorado,2012,52955.17
Colorado,2013,55344.16
Colorado,2014,57883.12
Colorado,2015,58972.48
Colorado,2016,59792.95
Colorado,2017,62541.42
Colorado,2018,65867.27
Colorado,2019,69361.52
Colorado,2020,68600.28
Colorado,2021,76668.92
Colorado,2022,85283.98
Colorado,2023,90197.39
Colorado,2024,93117.28
Connecticut,2008,66592.99
Connecticut,2009,65031.04
Connecticut,2010,65364.2
Connecticut,2011,64843.34
Connecticut,2012,66544.58
Connecticut,2013,66629.73
Connecticut,2014,68366.01
Connecticut,2015,72164.0
Connecticut,2016,73389.34
Connecticut,2017,75917.2
Connecticut,2018,77684.19
Connecticut,2019,79412.62
Connecticut,2020,77870.31
Connecticut,2021,82423.88
Connecticut,2022,88878.49
Connecticut,2023,93880.02
Connecticut,2024,97112.49
Delaware,2008,62509.81
Delaware,2009,64739.21
Delaware,2010,64607.63
Delaware,2011,67582.08
Delaware,2012,68010.5
Delaware,2013,67038.92
Delaware,2014,73353.59
Delaware,2015,76586.51
Delaware,2016,73463.56
Delaware,2017,72332.89
Delaware,2018,75555.63
Delaware,2019,80207.17
Delaware,2020,78392.97
Delaware,2021,83128.25
Delaware,2022,95101.83
Delaware,2023,99804.03
Delaware,2024,105675.05
District of Columbia,2008,171034.54
District of Columbia,2009,169580.13
District of Columbia,2010,175500.98
District of Columbia,2011,178073.09
District of Columbia,2012,178409.5
District of Columbia,2013,178255.46
District of Columbia,2014,183487.11
District of Columbia,2015,187561.32
District of Columbia,2016,192943.42
District of Columbia,2017,197303.83
District of Columbia,2018,206046.89
District of Columbia,2019,211068.21
District of Columbia,2020,218873.01
District of Columbia,2021,233830.12
District of Columbia,2022,244782.74
District of Columbia,2023,255290.31
District of Columbia,2024,266591.98
Florida,2008,41417.67
Florida,2009,39636.33
Florida,2010,39962.97
Florida,2011,39977.3
Florida,2012,40717.02
Florida,2013,42028.55
Florida,2014,43461.68
Florida,2015,45603.13
Florida,2016,46972.12
Florida,2017,48631.91
Florida,2018,50734.77
Florida,2019,53093.29
Florida,2020,53014.5
Florida,2021,59569.8
Florida,2022,65748.59
Florida,2023,70854.58
Florida,2024,74216.54
Georgia,2008,43799.09
Georgia,2009,42602.93
Georgia,2010,43141.12
Georgia,2011,44172.12
Georgia,2012,45358.26
Georgia,2013,46845.46
Georgia,2014,48954.53
Georgia,2015,51562.14
Georgia,2016,53776.8
Georgia,2017,55954.69
Georgia,2018,58180.26
Georgia,2019,60761.96
Georgia,2020,59490.58
Georgia,2021,65412.96
Georgia,2022,71905.15
Georgia,2023,75540.52
Georgia,2024,78676.53
Hawaii,2008,49200.47
Hawaii,2009,47867.74
Hawaii,2010,48889.07
Hawaii,2011,49670.83
Hawaii,2012,50984.06
Hawaii,2013,52410.69
Hawaii,2014,53713.84
Hawaii,2015,56282.68
Hawaii,2016,57857.14
Hawaii,2017,59963.47
Hawaii,2018,62284.71
Hawaii,2019,63997.15
Hawaii,2020,58428.95
Hawaii,2021,64747.82
Hawaii,2022,72300.48
Hawaii,2023,77870.45
Hawaii,2024,81973.06
Idaho,2008,36630.95
Idaho,2009,35065.96
Idaho,2010,35693.25
Idaho,2011,36183.08
Idaho,2012,36194.74
Idaho,2013,38121.47
Idaho,2014,39303.37
Idaho,2015,39715.4
Idaho,2016,40766.89
Idaho,2017,42040.24
Idaho,2018,44691.22
Idaho,2019,46687.92
Idaho,2020,47615.57
Idaho,2021,52436.59
Idaho,2022,57958.08
Idaho,2023,61196.79
Idaho,2024,64480.99
Illinois,2008,50966.92
Illinois,2009,50469.2
Illinois,2010,51685.89
Illinois,2011,53659.91
Illinois,2012,56119.32
Illinois,2013,57322.36
Illinois,2014,59549.49
Illinois,2015,61913.54
Illinois,2016,62847.56
Illinois,2017,64445.84
Illinois,2018,67587.29
Illinois,2019,69699.68
Illinois,2020,67275.06
Illinois,2021,74564.87
Illinois,2022,82297.44
Illinois,2023,87133.71
Illinois,2024,90380.47
Indiana,2008,43234.69
Indiana,2009,41014.35
Indiana,2010,43855.94
Indiana,2011,44832.92
Indiana,2012,46021.25
Indiana,2013,47629.21
Indiana,2014,49826.36
Indiana,2015,50259.1
Indiana,2016,51468.85
Indiana,2017,53473.55
Indiana,2018,56107.51
Indiana,2019,56913.5
Indiana,2020,55710.88
Indiana,2021,62409.3
Indiana,2022,68359.31
Indiana,2023,72202.09
Indiana,2024,74914.91
Iowa,2008,45661.7
Iowa,2009,45202.83
Iowa,2010,46698.0
Iowa,2011,48541.94
Iowa,2012,51432.39
Iowa,2013,52350.39
Iowa,2014,55652.11
Iowa,2015,57861.53
Iowa,2016,58367.54
Iowa,2017,59165.25
Iowa,2018,60902.62
Iowa,2019,61642.98
Iowa,2020,62502.21
Iowa,2021,70350.95
Iowa,2022,76253.96
Iowa,2023,78751.81
Iowa,2024,82277.75
Kansas,2008,46018.41
Kansas,2009,44498.01
Kansas,2010,45205.72
Kansas,2011,47605.12
Kansas,2012,49050.17
Kansas,2013,49970.0
Kansas,2014,51613.53
Kansas,2015,53272.26
Kansas,2016,55391.39
Kansas,2017,56798.14
Kansas,2018,59139.64
Kansas,2019,60014.81
Kansas,2020,59690.01
Kansas,2021,64306.05
Kansas,2022,72622.99
Kansas,2023,76227.27
Kansas,2024,77741.15
Kentucky,2008,37460.32
Kentucky,2009,36469.17
Kentucky,2010,38319.2
Kentucky,2011,39146.38
Kentucky,2012,40592.77
Kentucky,2013,41875.34
Kentucky,2014,42522.6
Kentucky,2015,43796.34
Kentucky,2016,44404.59
Kentucky,2017,45480.74
Kentucky,2018,46912.18
Kentucky,2019,49059.76
Kentucky,2020,48565.98
Kentucky,2021,52944.83
Kentucky,2022,58078.47
Kentucky,2023,62257.28
Kentucky,2024,64435.5
Louisiana,2008,48201.86
Louisiana,2009,45887.72
Louisiana,2010,49849.37
Louisiana,2011,50363.6
Louisiana,2012,51255.85
Louisiana,2013,50052.02
Louisiana,2014,51833.66
Louisiana,2015,50170.58
Louisiana,2016,48540.52
Louisiana,2017,51261.43
Louisiana,2018,54912.76
Louisiana,2019,55203.47
Louisiana,2020,50224.57
Louisiana,2021,58994.86
Louisiana,2022,66139.2
Louisiana,2023,69158.45
Louisiana,2024,71328.6
Maine,2008,38332.62
Maine,2009,38697.04
Maine,2010,39761.91
Maine,2011,39926.39
Maine,2012,40586.3
Maine,2013,41214.01
Maine,2014,42298.88
Maine,2015,43986.53
Maine,2016,45581.26
Maine,2017,46842.13
Maine,2018,49026.88
Maine,2019,51349.92
Maine,2020,52991.76
Maine,2021,57583.09
Maine,2022,62023.23
Maine,2023,66864.72
Maine,2024,70414.25
Maryland,2008,51523.33
Maryland,2009,52052.81
Maryland,2010,54203.37
Maryland,2011,55495.27
Maryland,2012,56107.72
Maryland,2013,56996.66
Maryland,2014,58525.73
Maryland,2015,60710.26
Maryland,2016,63562.67
Maryland,2017,65382.42
Maryland,2018,66909.54
Maryland,2019,68041.42
Maryland,2020,66976.14
Maryland,2021,72492.19
Maryland,2022,77930.03
Maryland,2023,83004.34
Maryland,2024,87430.1
Massachusetts,2008,59966.82
Massachusetts,2009,59678.89
Massachusetts,2010,62296.38
Massachusetts,2011,63897.72
Massachusetts,2012,65936.42
Massachusetts,2013,66969.67
Massachusetts,2014,68880.5
Massachusetts,2015,72490.4
Massachusetts,2016,74404.2
Massachusetts,2017,76177.71
Massachusetts,2018,80007.05
Massachusetts,2019,83809.01
Massachusetts,2020,84871.63
Massachusetts,2021,92944.8
Massachusetts,2022,99114.17
Massachusetts,2023,104314.64
Massachusetts,2024,109058.89
Michigan,2008,39372.47
Michigan,2009,37540.13
Michigan,2010,39795.06
Michigan,2011,41266.01
Michigan,2012,42953.44
Michigan,2013,44379.64
Michigan,2014,45727.06
Michigan,2015,47982.5
Michigan,2016,49390.33
Michigan,2017,50259.29
Michigan,2018,52156.21
Michigan,2019,53604.94
Michigan,2020,52635.61
Michigan,2021,57091.09
Michigan,2022,62144.47
Michigan,2023,67185.7
Michigan,2024,69551.44
Minnesota,2008,51223.67
Minnesota,2009,49728.97
Minnesota,2010,51701.62
Minnesota,2011,53628.56
Minnesota,2012,55417.86
Minnesota,2013,57400.36
Minnesota,2014,59314.95
Minnesota,2015,61111.75
Minnesota,2016,62128.32
Minnesota,2017,63275.25
Minnesota,2018,65911.96
Minnesota,2019,67672.99
Minnesota,2020,66362.89
Minnesota,2021,72827.77
Minnesota,2022,79858.33
Minnesota,2023,83994.81
Minnesota,2024,87571.56
Mississippi,2008,32288.18
Mississippi,2009,31221.72
Mississippi,2010,31911.31
Mississippi,2011,32505.8
Mississippi,2012,33834.12
Mississippi,2013,34501.65
Mississippi,2014,35218.08
Mississippi,2015,35719.9
Mississippi,2016,36120.06
Mississippi,2017,36964.41
Mississippi,2018,38043.51
Mississippi,2019,39115.99
Mississippi,2020,39697.88
Mississippi,2021,44240.9
Mississippi,2022,48185.24
Mississippi,2023,51491.4
Mississippi,2024,53621.42
Missouri,2008,43287.43
Missouri,2009,42661.04
Missouri,2010,43696.81
Missouri,2011,43803.84
Missouri,2012,45212.29
Missouri,2013,46766.93
Missouri,2014,47742.35
Missouri,2015,49299.81
Missouri,2016,49914.03
Missouri,2017,50914.53
Missouri,2018,52288.13
Missouri,2019,54489.63
Missouri,2020,54584.36
Missouri,2021,59326.05
