State,Year,Income_pc
Alabama,1997,21487.0
Alabama,1998,22651.0
Alabama,1999,23296.0
Alabama,2000,24258.0
Alabama,2001,25046.0
Alabama,2002,25671.0
Alabama,2003,26700.0
Alabama,2004,28385.0
Alabama,2005,29780.0
Alabama,2006,31264.0
Alabama,2007,32516.0
Alabama,2008,33441.0
Alabama,2009,32717.0
Alabama,2010,33848.0
Alabama,2011,34884.0
Alabama,2012,35559.0
Alabama,2013,35706.0
Alabama,2014,36722.0
Alabama,2015,38189.0
Alabama,2016,38704.0
Alabama,2017,39968.0
Alabama,2018,41324.0
Alabama,2019,42998.0
Alabama,2020,45872.0
Alabama,2021,50638.0
Alabama,2022,51697.0
Alabama,2023,54612.0
Alabama,2024,57311.0
Alaska,1997,28219.0
Alaska,1998,29287.0
Alaska,1999,29941.0
Alaska,2000,31996.0
Alaska,2001,33591.0
Alaska,2002,34766.0
Alaska,2003,36045.0
Alaska,2004,37054.0
Alaska,2005,39013.0
Alaska,2006,41013.0
Alaska,2007,43747.0
Alaska,2008,47800.0
Alaska,2009,47211.0
Alaska,2010,49543.0
Alaska,2011,52415.0
Alaska,2012,53340.0
Alaska,2013,52252.0
Alaska,2014,55098.0
Alaska,2015,56714.0
Alaska,2016,55536.0
Alaska,2017,56500.0
Alaska,2018,58997.0
Alaska,2019,60504.0
Alaska,2020,61903.0
Alaska,2021,65803.0
Alaska,2022,69160.0
Alaska,2023,72398.0
Alaska,2024,76234.0
Arizona,1997,22757.0
Arizona,1998,24130.0
Arizona,1999,24866.0
Arizona,2000,26271.0
Arizona,2001,26946.0
Arizona,2002,27325.0
Arizona,2003,28384.0
Arizona,2004,30154.0
Arizona,2005,32150.0
Arizona,2006,34460.0
Arizona,2007,35602.0
Arizona,2008,35586.0
Arizona,2009,33467.0
Arizona,2010,33778.0
Arizona,2011,35263.0
Arizona,2012,36364.0
Arizona,2013,36918.0
Arizona,2014,38268.0
Arizona,2015,39888.0
Arizona,2016,41173.0
Arizona,2017,43255.0
Arizona,2018,45297.0
Arizona,2019,47718.0
Arizona,2020,52077.0
Arizona,2021,57175.0
Arizona,2022,59060.0
Arizona,2023,63032.0
Arizona,2024,65798.0
Arkansas,1997,20176.0
Arkansas,1998,21203.0
Arkansas,1999,21842.0
Arkansas,2000,22731.0
Arkansas,2001,23841.0
Arkansas,2002,24280.0
Arkansas,2003,25564.0
Arkansas,2004,27024.0
Arkansas,2005,28043.0
Arkansas,2006,29376.0
Arkansas,2007,31036.0
Arkansas,2008,32157.0
Arkansas,2009,31411.0
Arkansas,2010,32218.0
Arkansas,2011,34181.0
Arkansas,2012,36289.0
Arkansas,2013,36286.0
Arkansas,2014,38220.0
Arkansas,2015,39267.0
Arkansas,2016,40181.0
Arkansas,2017,41403.0
Arkansas,2018,43031.0
Arkansas,2019,43737.0
Arkansas,2020,47129.0
Arkansas,2021,53353.0
Arkansas,2022,53709.0
Arkansas,2023,56547.0
Arkansas,2024,59320.0
California,1997,26979.0
California,1998,28901.0
California,1999,30529.0
California,2000,33175.0
California,2001,33915.0
California,2002,34047.0
California,2003,35191.0
California,2004,36969.0
California,2005,38737.0
California,2006,41454.0
California,2007,43070.0
California,2008,43391.0
California,2009,41660.0
California,2010,43137.0
California,2011,45508.0
California,2012,47793.0
California,2013,48074.0
California,2014,50617.0
California,2015,53816.0
California,2016,55862.0
California,2017,58214.0
California,2018,60984.0
California,2019,64219.0
California,2020,70100.0
California,2021,77134.0
California,2022,77196.0
California,2023,81196.0
California,2024,86232.0
Colorado,1997,27554.0
Colorado,1998,29776.0
Colorado,1999,31167.0
Colorado,2000,33872.0
Colorado,2001,34812.0
Colorado,2002,34405.0
Colorado,2003,34757.0
Colorado,2004,35753.0
Colorado,2005,37619.0
Colorado,2006,39869.0
Colorado,2007,41760.0
Colorado,2008,42961.0
Colorado,2009,40258.0
Colorado,2010,40827.0
Colorado,2011,43735.0
Colorado,2012,45495.0
Colorado,2013,47088.0
Colorado,2014,50251.0
Colorado,2015,51401.0
Colorado,2016,51312.0
Colorado,2017,54176.0
Colorado,2018,57798.0
Colorado,2019,61278.0
Colorado,2020,64704.0
Colorado,2021,71928.0
Colorado,2022,76685.0
Colorado,2023,80169.0
Colorado,2024,83055.0
Connecticut,1997,35017.0
Connecticut,1998,37638.0
Connecticut,1999,39479.0
Connecticut,2000,42857.0
Connecticut,2001,45032.0
Connecticut,2002,44656.0
Connecticut,2003,44898.0
Connecticut,2004,47098.0
Connecticut,2005,49424.0
Connecticut,2006,53224.0
Connecticut,2007,57112.0
Connecticut,2008,60543.0
Connecticut,2009,59586.0
Connecticut,2010,61392.0
Connecticut,2011,62964.0
Connecticut,2012,63556.0
Connecticut,2013,62000.0
Connecticut,2014,64484.0
Connecticut,2015,66222.0
Connecticut,2016,67551.0
Connecticut,2017,69147.0
Connecticut,2018,72159.0
Connecticut,2019,74176.0
Connecticut,2020,76826.0
Connecticut,2021,82152.0
Connecticut,2022,85411.0
Connecticut,2023,90235.0
Connecticut,2024,95067.0
Delaware,1997,27022.0
Delaware,1998,29444.0
Delaware,1999,31119.0
Delaware,2000,33810.0
Delaware,2001,36917.0
Delaware,2002,37660.0
Delaware,2003,37985.0
Delaware,2004,38843.0
Delaware,2005,39133.0
Delaware,2006,40736.0
Delaware,2007,41539.0
Delaware,2008,41254.0
Delaware,2009,41056.0
Delaware,2010,41100.0
Delaware,2011,43779.0
Delaware,2012,43771.0
Delaware,2013,43943.0
Delaware,2014,45359.0
Delaware,2015,47238.0
Delaware,2016,48186.0
Delaware,2017,49997.0
Delaware,2018,52670.0
Delaware,2019,53778.0
Delaware,2020,55518.0
Delaware,2021,59873.0
Delaware,2022,64066.0
Delaware,2023,64591.0
Delaware,2024,68061.0
District of Columbia,1997,35657.0
District of Columbia,1998,38064.0
District of Columbia,1999,39679.0
District of Columbia,2000,43401.0
District of Columbia,2001,44809.0
District of Columbia,2002,45124.0
District of Columbia,2003,45978.0
District of Columbia,2004,49986.0
District of Columbia,2005,52686.0
District of Columbia,2006,55384.0
District of Columbia,2007,59358.0
District of Columbia,2008,60609.0
District of Columbia,2009,60011.0
District of Columbia,2010,63190.0
District of Columbia,2011,66985.0
District of Columbia,2012,67522.0
District of Columbia,2013,67081.0
District of Columbia,2014,70527.0
District of Columbia,2015,74784.0
District of Columbia,2016,77500.0
District of Columbia,2017,79567.0
District of Columbia,2018,82272.0
District of Columbia,2019,83675.0
District of Columbia,2020,90741.0
District of Columbia,2021,98143.0
District of Columbia,2022,100849.0
District of Columbia,2023,106640.0
District of Columbia,2024,111185.0
Florida,1997,25397.0
Florida,1998,26909.0
Florida,1999,27662.0
Florida,2000,29387.0
Florida,2001,30405.0
Florida,2002,30815.0
Florida,2003,31779.0
Florida,2004,33706.0
Florida,2005,35736.0
Florida,2006,38009.0
Florida,2007,39184.0
Florida,2008,39185.0
Florida,2009,36777.0
Florida,2010,38779.0
Florida,2011,40437.0
Florida,2012,41211.0
Florida,2013,40743.0
Florida,2014,42877.0
Florida,2015,44957.0
Florida,2016,45730.0
Florida,2017,48447.0
Florida,2018,51015.0
Florida,2019,53666.0
Florida,2020,56597.0
Florida,2021,62617.0
Florida,2022,65429.0
Florida,2023,70057.0
Florida,2024,73006.0
Georgia,1997,24356.0
Georgia,1998,26107.0
Georgia,1999,27184.0
Georgia,2000,28760.0
Georgia,2001,29693.0
Georgia,2002,30086.0
Georgia,2003,30805.0
Georgia,2004,31982.0
Georgia,2005,33283.0
Georgia,2006,34574.0
Georgia,2007,35440.0
Georgia,2008,35272.0
Georgia,2009,34213.0
Georgia,2010,34740.0
Georgia,2011,36760.0
Georgia,2012,37250.0
Georgia,2013,37484.0
Georgia,2014,39550.0
Georgia,2015,41527.0
Georgia,2016,42742.0
Georgia,2017,44836.0
Georgia,2018,46624.0
Georgia,2019,48529.0
Georgia,2020,51496.0
Georgia,2021,56262.0
Georgia,2022,57396.0
Georgia,2023,60006.0
Georgia,2024,63006.0
Hawaii,1997,26192.0
Hawaii,1998,26625.0
Hawaii,1999,27618.0
Hawaii,2000,29174.0
Hawaii,2001,30178.0
Hawaii,2002,31353.0
Hawaii,2003,32557.0
Hawaii,2004,34336.0
Hawaii,2005,36278.0
Hawaii,2006,38315.0
Hawaii,2007,40301.0
Hawaii,2008,41887.0
Hawaii,2009,41144.0
Hawaii,2010,41498.0
Hawaii,2011,42758.0
Hawaii,2012,43523.0
Hawaii,2013,43548.0
Hawaii,2014,45445.0
Hawaii,2015,47150.0
Hawaii,2016,48561.0
Hawaii,2017,50506.0
Hawaii,2018,51554.0
Hawaii,2019,53940.0
Hawaii,2020,57026.0
Hawaii,2021,61264.0
Hawaii,2022,63184.0
Hawaii,2023,67269.0
Hawaii,2024,71019.0
Idaho,1997,21465.0
Idaho,1998,22756.0
Idaho,1999,23658.0
Idaho,2000,25139.0
Idaho,2001,25803.0
Idaho,2002,26272.0
Idaho,2003,26739.0
Idaho,2004,28299.0
Idaho,2005,29214.0
Idaho,2006,31244.0
Idaho,2007,32459.0
Idaho,2008,32690.0
Idaho,2009,31200.0
Idaho,2010,31948.0
Idaho,2011,33447.0
Idaho,2012,34812.0
Idaho,2013,35699.0
Idaho,2014,37107.0
Idaho,2015,38813.0
Idaho,2016,39653.0
Idaho,2017,41197.0
Idaho,2018,43254.0
Idaho,2019,45880.0
Idaho,2020,49724.0
Idaho,2021,55603.0
Idaho,2022,57034.0
Idaho,2023,59201.0
Idaho,2024,62323.0
Illinois,1997,28360.0
Illinois,1998,29873.0
Illinois,1999,30958.0
Illinois,2000,33072.0
Illinois,2001,34206.0
Illinois,2002,34520.0
Illinois,2003,35081.0
Illinois,2004,36366.0
Illinois,2005,37720.0
Illinois,2006,40021.0
Illinois,2007,42148.0
Illinois,2008,43238.0
Illinois,2009,41088.0
Illinois,2010,42107.0
Illinois,2011,44075.0
Illinois,2012,45934.0
Illinois,2013,46735.0
Illinois,2014,48536.0
Illinois,2015,50688.0
Illinois,2016,51347.0
Illinois,2017,53056.0
Illinois,2018,56077.0
Illinois,2019,57738.0
Illinois,2020,61579.0
Illinois,2021,66866.0
Illinois,2022,68044.0
Illinois,2023,71761.0
Illinois,2024,74522.0
Indiana,1997,24066.0
Indiana,1998,25758.0
Indiana,1999,26545.0
Indiana,2000,28075.0
Indiana,2001,28596.0
Indiana,2002,28902.0
Indiana,2003,29445.0
Indiana,2004,30657.0
Indiana,2005,31376.0
Indiana,2006,32905.0
Indiana,2007,33845.0
Indiana,2008,35270.0
Indiana,2009,34200.0
Indiana,2010,35590.0
Indiana,2011,37681.0
Indiana,2012,39148.0
Indiana,2013,39435.0
Indiana,2014,40719.0
Indiana,2015,42146.0
Indiana,2016,43143.0
Indiana,2017,44568.0
Indiana,2018,46555.0
Indiana,2019,48270.0
Indiana,2020,51775.0
Indiana,2021,57374.0
Indiana,2022,58671.0
Indiana,2023,61386.0
Indiana,2024,64077.0
Iowa,1997,24180.0
Iowa,1998,25198.0
Iowa,1999,25705.0
Iowa,2000,27341.0
Iowa,2001,28145.0
Iowa,2002,28804.0
Iowa,2003,29344.0
Iowa,2004,31615.0
Iowa,2005,32411.0
Iowa,2006,34197.0
Iowa,2007,36366.0
Iowa,2008,38490.0
Iowa,2009,37246.0
Iowa,2010,38190.0
Iowa,2011,40879.0
Iowa,2012,42539.0
Iowa,2013,43009.0
Iowa,2014,44120.0
Iowa,2015,45442.0
Iowa,2016,45669.0
Iowa,2017,46767.0
Iowa,2018,48773.0
Iowa,2019,49674.0
Iowa,2020,52676.0
Iowa,2021,58250.0
Iowa,2022,61209.0
Iowa,2023,62688.0
Iowa,2024,65225.0
Kansas,1997,24932.0
Kansas,1998,26201.0
Kansas,1999,26871.0
Kansas,2000,28166.0
Kansas,2001,29047.0
Kansas,2002,29218.0
Kansas,2003,30029.0
Kansas,2004,30748.0
Kansas,2005,32340.0
Kansas,2006,35411.0
Kansas,2007,37748.0
Kansas,2008,41060.0
Kansas,2009,39382.0
Kansas,2010,39821.0
Kansas,2011,42889.0
Kansas,2012,44913.0
Kansas,2013,45669.0
Kansas,2014,46289.0
Kansas,2015,46597.0
Kansas,2016,46717.0
Kansas,2017,48271.0
Kansas,2018,50282.0
Kansas,2019,52156.0
Kansas,2020,55231.0
Kansas,2021,59209.0
Kansas,2022,61875.0
Kansas,2023,63513.0
Kansas,2024,65856.0
Kentucky,1997,21369.0
Kentucky,1998,22433.0
Kentucky,1999,23189.0
Kentucky,2000,24815.0
Kentucky,2001,25564.0
Kentucky,2002,26053.0
Kentucky,2003,26661.0
Kentucky,2004,28030.0
