State,Year,Real_Income_pc
Alabama,2008,42219.0
Alabama,2009,41966.0
Alabama,2010,41709.0
Alabama,2011,41819.0
Alabama,2012,41592.0
Alabama,2013,41325.0
Alabama,2014,41984.0
Alabama,2015,43809.0
Alabama,2016,43554.0
Alabama,2017,44481.0
Alabama,2018,46440.0
Alabama,2019,47130.0
Alabama,2020,50186.0
Alabama,2021,52875.0
Alabama,2022,50649.0
Alabama,2023,50902.0
Alabama,2024,52216.0
Alaska,2008,51647.0
Alaska,2009,50081.0
Alaska,2010,53163.0
Alaska,2011,54766.0
Alaska,2012,55096.0
Alaska,2013,53525.0
Alaska,2014,55480.0
Alaska,2015,56528.0
Alaska,2016,54411.0
Alaska,2017,54022.0
Alaska,2018,55403.0
Alaska,2019,56834.0
Alaska,2020,58522.0
Alaska,2021,57677.0
Alaska,2022,58413.0
Alaska,2023,58204.0
Alaska,2024,60272.0
Arizona,2008,38966.0
Arizona,2009,36634.0
Arizona,2010,37162.0
Arizona,2011,38403.0
Arizona,2012,39284.0
Arizona,2013,39204.0
Arizona,2014,40281.0
Arizona,2015,41960.0
Arizona,2016,42568.0
Arizona,2017,44279.0
Arizona,2018,45675.0
Arizona,2019,47236.0
Arizona,2020,50292.0
Arizona,2021,54424.0
Arizona,2022,50935.0
Arizona,2023,51960.0
Arizona,2024,52890.0
Arkansas,2008,40969.0
Arkansas,2009,40953.0
Arkansas,2010,40248.0
Arkansas,2011,41264.0
Arkansas,2012,42999.0
Arkansas,2013,42386.0
Arkansas,2014,44078.0
Arkansas,2015,45415.0
Arkansas,2016,45881.0
Arkansas,2017,46861.0
Arkansas,2018,48487.0
Arkansas,2019,48246.0
Arkansas,2020,51212.0
Arkansas,2021,55184.0
Arkansas,2022,53291.0
Arkansas,2023,54094.0
Arkansas,2024,55219.0
California,2008,43788.0
California,2009,42377.0
California,2010,43503.0
California,2011,44844.0
California,2012,46162.0
California,2013,45826.0
California,2014,47472.0
California,2015,50054.0
California,2016,51802.0
California,2017,52569.0
California,2018,53523.0
California,2019,55931.0
California,2020,59993.0
California,2021,63373.0
California,2022,59126.0
California,2023,60100.0
California,2024,63028.0
Colorado,2008,46671.0
Colorado,2009,44278.0
Colorado,2010,44904.0
Colorado,2011,45648.0
Colorado,2012,46723.0
Colorado,2013,47745.0
Colorado,2014,50265.0
Colorado,2015,51351.0
Colorado,2016,50937.0
Colorado,2017,52749.0
Colorado,2018,56590.0
Colorado,2019,57869.0
Colorado,2020,59735.0
Colorado,2021,64359.0
Colorado,2022,64668.0
Colorado,2023,65363.0
Colorado,2024,65223.0
Connecticut,2008,61522.0
Connecticut,2009,60598.0
Connecticut,2010,63477.0
Connecticut,2011,63006.0
Connecticut,2012,62569.0
Connecticut,2013,60162.0
Connecticut,2014,62123.0
Connecticut,2015,63396.0
Connecticut,2016,64086.0
Connecticut,2017,64637.0
Connecticut,2018,68121.0
Connecticut,2019,69091.0
Connecticut,2020,70018.0
Connecticut,2021,73422.0
Connecticut,2022,69250.0
Connecticut,2023,71915.0
Connecticut,2024,74254.0
Delaware,2008,45956.0
Delaware,2009,45289.0
Delaware,2010,44778.0
Delaware,2011,47032.0
Delaware,2012,46566.0
Delaware,2013,46578.0
Delaware,2014,46900.0
Delaware,2015,49667.0
Delaware,2016,49892.0
Delaware,2017,50878.0
Delaware,2018,52109.0
Delaware,2019,52671.0
Delaware,2020,54952.0
Delaware,2021,56509.0
Delaware,2022,56371.0
Delaware,2023,54314.0
