State,Year,RPP
Alabama,2008,88.901
Alabama,2009,87.786
Alabama,2010,89.783
Alabama,2011,90.011
Alabama,2012,90.559
Alabama,2013,90.324
Alabama,2014,90.175
Alabama,2015,89.741
Alabama,2016,90.609
Alabama,2017,90.065
Alabama,2018,87.378
Alabama,2019,88.303
Alabama,2020,87.569
Alabama,2021,88.062
Alabama,2022,88.021
Alabama,2023,89.097
Alabama,2024,88.823
Alaska,2008,103.878
Alaska,2009,106.147
Alaska,2010,103.099
Alaska,2011,103.274
Alaska,2012,102.548
Alaska,2013,102.052
Alaska,2014,102.386
Alaska,2015,103.287
Alaska,2016,104.073
Alaska,2017,104.833
Alaska,2018,104.565
Alaska,2019,103.041
Alaska,2020,101.339
Alaska,2021,104.907
Alaska,2022,102.101
Alaska,2023,103.297
Alaska,2024,102.359
Arizona,2008,102.504
Arizona,2009,102.865
Arizona,2010,100.558
Arizona,2011,99.083
Arizona,2012,98.05
Arizona,2013,98.441
Arizona,2014,97.944
Arizona,2015,97.865
Arizona,2016,98.622
Arizona,2017,97.915
Arizona,2018,97.381
Arizona,2019,97.779
Arizona,2020,99.203
Arizona,2021,96.6
Arizona,2022,99.992
Arizona,2023,100.742
Arizona,2024,100.677
Arkansas,2008,88.096
Arkansas,2009,86.364
Arkansas,2010,88.561
Arkansas,2011,89.383
Arkansas,2012,89.394
Arkansas,2013,89.493
Arkansas,2014,89.395
Arkansas,2015,89.013
Arkansas,2016,89.298
Arkansas,2017,88.561
Arkansas,2018,87.144
Arkansas,2019,87.744
Arkansas,2020,88.165
Arkansas,2021,88.902
Arkansas,2022,86.913
Arkansas,2023,86.81
Arkansas,2024,86.937
California,2008,111.22
California,2009,110.696
California,2010,109.703
California,2011,109.503
California,2012,109.666
California,2013,109.667
California,2014,109.926
California,2015,110.685
California,2016,109.956
California,2017,110.998
California,2018,111.882
California,2019,111.134
California,2020,111.944
California,2021,111.918
California,2022,112.591
California,2023,112.195
California,2024,110.72
Colorado,2008,103.315
Colorado,2009,102.378
Colorado,2010,100.59
Colorado,2011,103.384
Colorado,2012,103.138
Colorado,2013,103.099
Colorado,2014,103.068
Colorado,2015,103.048
Colorado,2016,102.716
Colorado,2017,102.946
Colorado,2018,100.29
Colorado,2019,102.491
Colorado,2020,103.774
Colorado,2021,102.765
Colorado,2022,102.26
Colorado,2023,101.856
Colorado,2024,103.052
Connecticut,2008,110.451
Connecticut,2009,110.72
Connecticut,2010,106.999
Connecticut,2011,107.834
Connecticut,2012,107.595
Connecticut,2013,107.731
Connecticut,2014,107.015
Connecticut,2015,107.536
Connecticut,2016,107.477
Connecticut,2017,107.228
Connecticut,2018,104.015
Connecticut,2019,103.915
Connecticut,2020,105.119
Connecticut,2021,102.886
Connecticut,2022,106.362
Connecticut,2023,104.201
Connecticut,2024,103.61
Delaware,2008,100.753
Delaware,2009,102.077
Delaware,2010,101.545
Delaware,2011,100.441
Delaware,2012,99.566
Delaware,2013,98.624
Delaware,2014,99.708
Delaware,2015,97.913
Delaware,2016,98.478
Delaware,2017,98.499
Delaware,2018,99.252
Delaware,2019,98.824
Delaware,2020,96.791
Delaware,2021,97.425
Delaware,2022,98.007
Delaware,2023,98.759
Delaware,2024,99.808
District of Columbia,2008,112.368
District of Columbia,2009,113.017
District of Columbia,2010,114.226
District of Columbia,2011,114.058
District of Columbia,2012,111.644
District of Columbia,2013,113.521
District of Columbia,2014,114.242
District of Columbia,2015,113.321
District of Columbia,2016,112.415
District of Columbia,2017,110.146
District of Columbia,2018,111.317
District of Columbia,2019,109.228
District of Columbia,2020,110.881
District of Columbia,2021,111.572
District of Columbia,2022,112.594
District of Columbia,2023,110.713
District of Columbia,2024,109.901
Florida,2008,101.668
Florida,2009,100.491
Florida,2010,100.392
Florida,2011,100.846
Florida,2012,101.072
Florida,2013,100.742
Florida,2014,100.894
Florida,2015,101.29
Florida,2016,101.087
Florida,2017,100.871
Florida,2018,100.318
Florida,2019,99.645
Florida,2020,100.604
Florida,2021,101.389
Florida,2022,102.284
Florida,2023,103.636
Florida,2024,103.414
Georgia,2008,94.254
Georgia,2009,91.854
Georgia,2010,94.574
Georgia,2011,93.666
Georgia,2012,95.298
