state,year,residual
Alabama,2008,677.0954148900273
Alabama,2009,822.0552442652406
Alabama,2010,-56.619572065377724
Alabama,2011,-516.0759024973231
Alabama,2012,-1114.1019865142662
Alabama,2013,-1461.9032225890696
Alabama,2014,-1361.366187568652
Alabama,2015,-342.7295434988264
Alabama,2016,-880.8087038969388
Alabama,2017,-648.5894004857182
Alabama,2018,565.0604218446751
Alabama,2019,334.915733482645
Alabama,2020,1811.1691179793706
Alabama,2021,1880.450130683399
Alabama,2022,-927.6485700187477
Alabama,2023,-2276.931584699356
Alabama,2024,-2446.4862524945347
Alaska,2008,2212.4086883724376
Alaska,2009,970.1633009442594
Alaska,2010,2770.3368891997816
Alaska,2011,2794.6896102417377
Alaska,2012,2616.246458070367
Alaska,2013,1643.2855386784213
Alaska,2014,2033.9296348084463
Alaska,2015,2193.665706258238
Alaska,2016,724.1749314018889
Alaska,2017,-194.70528340157762
Alaska,2018,-186.22696012798406
Alaska,2019,416.42295303713763
Alaska,2020,1335.4370396449813
Alaska,2021,-1653.2692235640716
Alaska,2022,-2762.505614741691
Alaska,2023,-4751.331481477813
Alaska,2024,-4791.858975239316
Arizona,2008,-3754.9430298749503
Arizona,2009,-4922.195960198034
Arizona,2010,-4565.142792982137
Arizona,2011,-4140.400177819429
Arizona,2012,-3864.5849459715173
Arizona,2013,-4249.101169001726
Arizona,2014,-3914.153337035619
Arizona,2015,-3125.615938676303
Arizona,2016,-3223.939668990046
Arizona,2017,-2657.3490125801036
Arizona,2018,-2383.7716252654573
Arizona,2019,-2153.5185132729093
Arizona,2020,-1493.5225136134832
Arizona,2021,-163.73136741852795
Arizona,2022,-4688.856061302897
Arizona,2023,-5847.138440140407
Arizona,2024,-6437.520882200974
Arkansas,2008,132.86947693115508
Arkansas,2009,526.9220083039618
Arkansas,2010,-621.6602876985271
Arkansas,2011,-684.6591068470734
Arkansas,2012,-108.35982552518544
Arkansas,2013,-719.7108207073325
Arkansas,2014,-90.76925994997146
Arkansas,2015,670.7280586192937
Arkansas,2016,634.3312574467127
