state,year,gdp,income_pc,real_income_pc,rpp,employment
Alabama,2008,174665.6,33441.0,42219.0,88.901,2582600.0
Alabama,2009,170876.5,32717.0,41966.0,87.786,2479511.0
Alabama,2010,177510.7,33848.0,41709.0,89.783,2460305.0
Alabama,2011,182896.7,34884.0,41819.0,90.011,2497974.0
Alabama,2012,188280.7,35559.0,41592.0,90.559,2503656.0
Alabama,2013,193981.5,35706.0,41325.0,90.324,2523020.0
Alabama,2014,197064.4,36722.0,41984.0,90.175,2552256.0
Alabama,2015,203113.3,38189.0,43809.0,89.741,2587641.0
Alabama,2016,208824.3,38704.0,43554.0,90.609,2619761.0
Alabama,2017,216615.5,39968.0,44481.0,90.065,2649222.0
Alabama,2018,226263.8,41324.0,46440.0,87.378,2692424.0
Alabama,2019,234798.2,42998.0,47130.0,88.303,2712014.0
Alabama,2020,235859.0,45872.0,50186.0,87.569,2670980.0
Alabama,2021,260325.0,50638.0,52875.0,88.062,2769117.0
Alabama,2022,286873.3,51697.0,50649.0,88.021,2857149.0
Alabama,2023,309543.8,54612.0,50902.0,89.097,2931413.0
Alabama,2024,325345.1,57311.0,52216.0,88.823,2969241.0
Alaska,2008,55246.7,47800.0,51647.0,103.878,443602.0
Alaska,2009,50165.9,47211.0,50081.0,106.147,442505.0
Alaska,2010,53654.0,49543.0,53163.0,103.099,443940.0
Alaska,2011,56912.3,52415.0,54766.0,103.274,450420.0
Alaska,2012,58320.7,53340.0,55096.0,102.548,459282.0
Alaska,2013,57533.0,52252.0,53525.0,102.052,461205.0
Alaska,2014,56587.4,55098.0,55480.0,102.386,461371.0
Alaska,2015,51574.2,56714.0,56528.0,103.287,461707.0
Alaska,2016,51121.8,55536.0,54411.0,104.073,457142.0
Alaska,2017,53550.9,56500.0,54022.0,104.833,455550.0
Alaska,2018,54762.0,58997.0,55403.0,104.565,454776.0
Alaska,2019,54549.6,60504.0,56834.0,103.041,454794.0
Alaska,2020,51861.7,61903.0,58522.0,101.339,430889.0
Alaska,2021,59363.0,65803.0,57677.0,104.907,443016.0
Alaska,2022,65682.5,69160.0,58413.0,102.101,454025.0
Alaska,2023,68232.7,72398.0,58204.0,103.297,467104.0
Alaska,2024,71567.2,76234.0,60272.0,102.359,474188.0
Arizona,2008,261005.8,35586.0,38966.0,102.504,3402806.0
Arizona,2009,244862.2,33467.0,36634.0,102.865,3228516.0
Arizona,2010,250527.0,33778.0,37162.0,100.558,3181563.0
Arizona,2011,261691.4,35263.0,38403.0,99.083,3239037.0
Arizona,2012,272703.3,36364.0,39284.0,98.05,3295532.0
Arizona,2013,278679.5,36918.0,39204.0,98.441,3371101.0
Arizona,2014,286676.0,38268.0,40281.0,97.944,3448146.0
Arizona,2015,298942.2,39888.0,41960.0,97.865,3547647.0
Arizona,2016,313787.1,41173.0,42568.0,98.622,3644791.0
Arizona,2017,333099.0,43255.0,44279.0,97.915,3740747.0
Arizona,2018,353671.0,45297.0,45675.0,97.381,3854741.0
Arizona,2019,375376.7,47718.0,47236.0,97.779,3929587.0
Arizona,2020,390503.2,52077.0,50292.0,99.203,3919887.0
Arizona,2021,438136.0,57175.0,54424.0,96.6,4085773.0
Arizona,2022,488722.2,59060.0,50935.0,99.992,4250495.0
Arizona,2023,530105.0,63032.0,51960.0,100.742,4404247.0
Arizona,2024,570088.6,65798.0,52890.0,100.677,4457506.0
Arkansas,2008,100206.7,32157.0,40969.0,88.096,1579250.0
Arkansas,2009,97783.9,31411.0,40953.0,86.364,1542904.0
Arkansas,2010,101699.3,32218.0,40248.0,88.561,1541250.0
Arkansas,2011,105697.6,34181.0,41264.0,89.383,1561929.0
Arkansas,2012,108836.0,36289.0,42999.0,89.394,1565109.0
Arkansas,2013,114021.1,36286.0,42386.0,89.493,1569358.0
Arkansas,2014,117388.7,38220.0,44078.0,89.395,1587408.0
Arkansas,2015,118573.6,39267.0,45415.0,89.013,1610799.0
Arkansas,2016,120987.4,40181.0,45881.0,89.298,1629734.0
Arkansas,2017,123882.6,41403.0,46861.0,88.561,1639903.0
Arkansas,2018,129213.8,43031.0,48487.0,87.144,1658212.0
Arkansas,2019,132625.8,43737.0,48246.0,87.744,1663305.0
Arkansas,2020,136145.9,47129.0,51212.0,88.165,1639041.0
Arkansas,2021,154261.8,53353.0,55184.0,88.902,1684580.0
Arkansas,2022,167863.5,53709.0,53291.0,86.913,1744586.0
Arkansas,2023,178114.8,56547.0,54094.0,86.81,1789021.0
Arkansas,2024,188339.6,59320.0,55219.0,86.937,1805358.0
California,2008,1946241.5,43391.0,43788.0,111.22,20654365.0
California,2009,1879809.5,41660.0,42377.0,110.696,19837727.0
California,2010,1938603.3,43137.0,43503.0,109.703,19642544.0
California,2011,2014050.3,45508.0,44844.0,109.503,19986185.0
California,2012,2108873.1,47793.0,46162.0,109.666,20666919.0
California,2013,2223300.9,48074.0,45826.0,109.667,21318697.0
California,2014,2342218.8,50617.0,47472.0,109.926,21996861.0
California,2015,2487156.4,53816.0,50054.0,110.685,22687175.0
California,2016,2586485.2,55862.0,51802.0,109.956,23177961.0
California,2017,2740550.3,58214.0,52569.0,110.998,23548874.0
California,2018,2899530.9,60984.0,53523.0,111.882,24077466.0
California,2019,3068629.7,64219.0,55931.0,111.134,24224461.0
California,2020,3072927.6,70100.0,59993.0,111.944,23156746.0
California,2021,3418256.1,77134.0,63373.0,111.918,23932245.0
California,2022,3618289.7,77196.0,59126.0,112.591,24941794.0
California,2023,3827007.3,81196.0,60100.0,112.195,25260641.0
California,2024,4048108.1,86232.0,63028.0,110.72,25583169.0
Colorado,2008,257606.1,42961.0,46671.0,103.315,3251120.0
Colorado,2009,249817.1,40258.0,44278.0,102.378,3164474.0
Colorado,2010,256771.8,40827.0,44904.0,100.59,3143662.0
Colorado,2011,266114.1,43735.0,45648.0,103.384,3204104.0
Colorado,2012,274738.8,45495.0,46723.0,103.138,3262912.0
Colorado,2013,291265.3,47088.0,47745.0,103.099,3357156.0
Colorado,2014,309223.9,50251.0,50265.0,103.068,3467715.0
Colorado,2015,320895.9,51401.0,51351.0,103.048,3574253.0
Colorado,2016,330565.9,51312.0,50937.0,102.716,3666709.0
Colorado,2017,350209.1,54176.0,52749.0,102.946,3760708.0
Colorado,2018,373923.1,57798.0,56590.0,100.29,3857981.0
Colorado,2019,397843.6,61278.0,57869.0,102.491,3894321.0
Colorado,2020,396981.1,64704.0,59735.0,103.774,3821182.0
Colorado,2021,445781.3,71928.0,64359.0,102.765,3987514.0
Colorado,2022,499197.4,76685.0,64668.0,102.26,4108115.0
Colorado,2023,533268.6,80169.0,65363.0,101.856,4250108.0
Colorado,2024,557633.0,83055.0,65223.0,103.052,4267582.0
Connecticut,2008,236110.7,60543.0,61522.0,110.451,2256077.0
Connecticut,2009,231628.0,59586.0,60598.0,110.72,2196171.0
Connecticut,2010,234022.2,61392.0,63477.0,106.999,2171940.0
Connecticut,2011,233058.7,62964.0,63006.0,107.834,2206253.0
Connecticut,2012,239907.5,63556.0,62569.0,107.595,2223243.0
Connecticut,2013,240549.2,62000.0,60162.0,107.731,2246505.0
Connecticut,2014,247114.7,64484.0,62123.0,107.015,2266061.0
Connecticut,2015,260648.5,66222.0,63396.0,107.536,2288144.0
Connecticut,2016,264760.4,67551.0,64086.0,107.477,2301331.0
Connecticut,2017,273875.1,69147.0,64637.0,107.228,2300273.0
Connecticut,2018,280535.4,72159.0,68121.0,104.015,2314465.0
Connecticut,2019,286451.9,74176.0,69091.0,103.915,2297925.0
Connecticut,2020,278747.9,76826.0,70018.0,105.119,2217480.0
Connecticut,2021,297366.0,82152.0,73422.0,102.886,2289367.0
Connecticut,2022,321625.2,85411.0,69250.0,106.362,2353654.0
Connecticut,2023,341851.8,90235.0,71915.0,104.201,2420056.0
Connecticut,2024,356834.9,95067.0,74254.0,103.61,2430624.0
Delaware,2008,55250.8,41254.0,45956.0,100.753,544865.0
Delaware,2009,57729.9,41056.0,45289.0,102.077,525596.0
Delaware,2010,58132.2,41100.0,44778.0,101.545,522361.0
