state,year,population,gdp,gdp_pc,employment,employment_pc,income_pc,real_income_pc,rpp
Alabama,2008,4718206.0,174665600000.0,37019.49,2582600.0,0.547369063580522,33441.0,42219.0,88.901
Alabama,2009,4757938.0,170876500000.0,35913.98,2479511.0,0.5211314228979024,32717.0,41966.0,87.786
Alabama,2010,4788095.0,177510700000.0,37073.35,2460305.0,0.5138379668740909,33848.0,41709.0,89.783
Alabama,2011,4812576.0,182896700000.0,38003.91,2497974.0,0.5190513355009874,34884.0,41819.0,90.011
Alabama,2012,4839947.0,188280700000.0,38901.4,2503656.0,0.5172899620595018,35559.0,41592.0,90.559
Alabama,2013,4865253.0,193981500000.0,39870.79,2523020.0,0.5185794037843459,35706.0,41325.0,90.324
Alabama,2014,4887757.0,197064400000.0,40317.96,2552256.0,0.5221732586133067,36722.0,41984.0,90.175
Alabama,2015,4909177.0,203113300000.0,41374.21,2587641.0,0.5271028117340238,38189.0,43809.0,89.741
Alabama,2016,4931579.0,208824300000.0,42344.31,2619761.0,0.531221541822609,38704.0,43554.0,90.609
Alabama,2017,4953096.0,216615500000.0,43733.35,2649222.0,0.5348618318724289,39968.0,44481.0,90.065
Alabama,2018,4977088.0,226263800000.0,45461.08,2692424.0,0.540963712114393,41324.0,46440.0,87.378
Alabama,2019,5003778.0,234798200000.0,46924.18,2712014.0,0.5419932698852746,42998.0,47130.0,88.303
Alabama,2020,5032962.0,235859000000.0,46862.86,2670980.0,0.530697430260749,45872.0,50186.0,87.569
Alabama,2021,5050058.0,260325000000.0,51548.91,2769117.0,0.5483337023059933,50638.0,52875.0,88.062
Alabama,2022,5076868.0,286873300000.0,56505.96,2857149.0,0.5627778780145555,51697.0,50649.0,88.021
Alabama,2023,5117850.0,309543800000.0,60483.17,2931413.0,0.5727821253065252,54612.0,50902.0,89.097
Alabama,2024,5163055.0,325345100000.0,63014.07,2969241.0,0.5750938155801169,57311.0,52216.0,88.823
Alaska,2008,687455.0,55246700000.0,80364.1,443602.0,0.6452815093351565,47800.0,51647.0,103.878
Alaska,2009,698895.0,50165900000.0,71778.88,442505.0,0.633149471665987,47211.0,50081.0,106.147
Alaska,2010,714015.0,53654000000.0,75144.08,443940.0,0.6217516438730278,49543.0,53163.0,103.099
Alaska,2011,722513.0,56912300000.0,78769.93,450420.0,0.62340746810092,52415.0,54766.0,103.274
Alaska,2012,731106.0,58320700000.0,79770.51,459282.0,0.6282016561210002,53340.0,55096.0,102.548
Alaska,2013,738054.0,57533000000.0,77952.29,461205.0,0.6248933004902081,52252.0,53525.0,102.052
Alaska,2014,737634.0,56587400000.0,76714.74,461371.0,0.6254741511372849,55098.0,55480.0,102.386
Alaska,2015,739120.0,51574200000.0,69777.84,461707.0,0.624671230652668,56714.0,56528.0,103.287
Alaska,2016,743397.0,51121800000.0,68767.83,457142.0,0.6149365682132159,55536.0,54411.0,104.073
Alaska,2017,741937.0,53550900000.0,72177.15,455550.0,0.6140009192155129,56500.0,54022.0,104.833
Alaska,2018,737710.0,54762000000.0,74232.42,454776.0,0.6164698865407816,58997.0,55403.0,104.565
Alaska,2019,734820.0,54549600000.0,74235.32,454794.0,0.6189189189189189,60504.0,56834.0,103.041
Alaska,2020,732906.0,51861700000.0,70761.73,430889.0,0.5879185052380523,61903.0,58522.0,101.339
Alaska,2021,734590.0,59363000000.0,80811.06,443016.0,0.6030792687077146,65803.0,57677.0,104.907
Alaska,2022,733659.0,65682500000.0,89527.29,454025.0,0.6188501742635203,69160.0,58413.0,102.101
Alaska,2023,734654.0,68232700000.0,92877.33,467104.0,0.6358149550672834,72398.0,58204.0,103.297
Alaska,2024,736537.0,71567200000.0,97167.15,474188.0,0.6438074394090182,76234.0,60272.0,102.359
Arizona,2008,6280362.0,261005800000.0,41559.04,3402806.0,0.5418168570537812,35586.0,38966.0,102.504
Arizona,2009,6343154.0,244862200000.0,38602.59,3228516.0,0.5089764492553704,33467.0,36634.0,102.865
Arizona,2010,6401304.0,250527000000.0,39136.87,3181563.0,0.497017951342414,33778.0,37162.0,100.558
Arizona,2011,6443158.0,261691400000.0,40615.39,3239037.0,0.5027095408804192,35263.0,38403.0,99.083
Arizona,2012,6501800.0,272703300000.0,41942.74,3295532.0,0.5068645605832232,36364.0,39284.0,98.05
Arizona,2013,6555926.0,278679500000.0,42508.03,3371101.0,0.514206688727115,36918.0,39204.0,98.441
Arizona,2014,6629890.0,286676000000.0,43239.93,3448146.0,0.5200909819016605,38268.0,40281.0,97.944
Arizona,2015,6705607.0,298942200000.0,44580.93,3547647.0,0.5290568027622257,39888.0,41960.0,97.865
Arizona,2016,6793278.0,313787100000.0,46190.82,3644791.0,0.5365290512179834,41173.0,42568.0,98.622
Arizona,2017,6872380.0,333099000000.0,48469.23,3740747.0,0.5443160884584379,43255.0,44279.0,97.915
Arizona,2018,6964300.0,353671000000.0,50783.42,3854741.0,0.5535001364099766,45297.0,45675.0,97.381
Arizona,2019,7067695.0,375376700000.0,53111.62,3929587.0,0.5559927246436073,47718.0,47236.0,97.779
Arizona,2020,7186647.0,390503200000.0,54337.33,3919887.0,0.5454403145166307,52077.0,50292.0,99.203
Arizona,2021,7274022.0,438136000000.0,60232.98,4085773.0,0.5616937919626859,57175.0,54424.0,96.6
Arizona,2022,7370065.0,488722200000.0,66311.79,4250495.0,0.5767242215638533,59060.0,50935.0,99.992
Arizona,2023,7452073.0,530105000000.0,71135.24,4404247.0,0.5910096425518108,63032.0,51960.0,100.742
Arizona,2024,7556424.0,570088600000.0,75444.23,4457506.0,0.5898962260455475,65798.0,52890.0,100.677
Arkansas,2008,2874554.0,100206700000.0,34859.91,1579250.0,0.5493895748697015,32157.0,40969.0,88.096
Arkansas,2009,2896843.0,97783900000.0,33755.33,1542904.0,0.532615678516233,31411.0,40953.0,86.364
Arkansas,2010,2921546.0,101699300000.0,34810.1,1541250.0,0.5275460321350408,32218.0,40248.0,88.561
Arkansas,2011,2938773.0,105697600000.0,35966.58,1561929.0,0.5314901831478648,34181.0,41264.0,89.383
Arkansas,2012,2948793.0,108836000000.0,36908.66,1565109.0,0.5307625865905135,36289.0,42999.0,89.394
Arkansas,2013,2954563.0,114021100000.0,38591.53,1569358.0,0.5311641687789361,36286.0,42386.0,89.493
Arkansas,2014,2961050.0,117388700000.0,39644.28,1587408.0,0.5360963171847825,38220.0,44078.0,89.395
Arkansas,2015,2970210.0,118573600000.0,39920.95,1610799.0,0.5423182199238438,39267.0,45415.0,89.013
Arkansas,2016,2980475.0,120987400000.0,40593.33,1629734.0,0.5468034457594847,40181.0,45881.0,89.298
Arkansas,2017,2990702.0,123882600000.0,41422.58,1639903.0,0.5483338025654177,41403.0,46861.0,88.561
Arkansas,2018,2997195.0,129213800000.0,43111.58,1658212.0,0.5532546264090258,43031.0,48487.0,87.144
Arkansas,2019,3004206.0,132625799999.99998,44146.71,1663305.0,0.5536587704038938,43737.0,48246.0,87.744
Arkansas,2020,3014399.0,136145900000.0,45165.19,1639041.0,0.5437372424818346,47129.0,51212.0,88.165
Arkansas,2021,3027127.0,154261800000.0,50959.8,1684580.0,0.5564946564845149,53353.0,55184.0,88.902
Arkansas,2022,3047429.0,167863500000.0,55083.65,1744586.0,0.5724779806190726,53709.0,53291.0,86.913
Arkansas,2023,3069856.0,178114800000.0,58020.57,1789021.0,0.5827703318983041,56547.0,54094.0,86.81
Arkansas,2024,3096080.0,188339600000.0,60831.63,1805358.0,0.5831109015270923,59320.0,55219.0,86.937
California,2008,36604337.0,1946241500000.0,53169.7,20654365.0,0.5642600492941587,43391.0,43788.0,111.22
California,2009,36961229.0,1879809500000.0,50858.96,19837727.0,0.5367171908704659,41660.0,42377.0,110.696
California,2010,37322523.0,1938603300000.0,51941.91,19642544.0,0.5262919658459317,43137.0,43503.0,109.703
California,2011,37651212.0,2014050300000.0,53492.31,19986185.0,0.5308244791694886,45508.0,44844.0,109.503
California,2012,37971412.0,2108873100000.0,55538.44,20666919.0,0.5442757567192918,47793.0,46162.0,109.666
California,2013,38292557.0,2223300900000.0,58060.92,21318697.0,0.5567321346547842,48074.0,45826.0,109.667
California,2014,38637421.0,2342218800000.0,60620.47,21996861.0,0.5693149395245609,50617.0,47472.0,109.926
California,2015,38966939.0,2487156400000.0,63827.35,22687175.0,0.582215990842904,53816.0,50054.0,110.685
California,2016,39223789.0,2586485200000.0,65941.75,23177961.0,0.5909159107499788,55862.0,51802.0,109.956
California,2017,39424315.0,2740550300000.0,69514.21,23548874.0,0.5973185329916322,58214.0,52569.0,110.998
California,2018,39535920.0,2899530900000.0,73339.15,24077466.0,0.6090022946222069,60984.0,53523.0,111.882
California,2019,39547995.0,3068629700000.0,77592.55,24224461.0,0.6125332270321163,64219.0,55931.0,111.134
California,2020,39527808.0,3072927600000.0,77740.91,23156746.0,0.5858343068252102,70100.0,59993.0,111.944
California,2021,39152927.0,3418256100000.0,87305.25,23932245.0,0.6112504692177931,77134.0,63373.0,111.918
California,2022,39125347.0,3618289700000.0,92479.43,24941794.0,0.6374842886377468,77196.0,59126.0,112.591
California,2023,39181667.0,3827007300000.0,97673.42,25260641.0,0.6447056221472149,81196.0,60100.0,112.195
California,2024,39364774.0,4048108100000.0,102835.8,25583169.0,0.6499000603940975,86232.0,63028.0,110.72
Colorado,2008,4889730.0,257606100000.0,52683.09,3251120.0,0.664887427322163,42961.0,46671.0,103.315
Colorado,2009,4972195.0,249817100000.0,50242.82,3164474.0,0.6364340095269795,40258.0,44278.0,102.378
Colorado,2010,5046928.0,256771800000.0,50876.85,3143662.0,0.6228862389160297,40827.0,44904.0,100.59
Colorado,2011,5118837.0,266114099999.99997,51987.22,3204104.0,0.6259437446435587,43735.0,45648.0,103.384
Colorado,2012,5188139.0,274738800000.0,52955.17,3262912.0,0.6289176138110409,45495.0,46723.0,103.138
Colorado,2013,5262801.0,291265300000.0,55344.16,3357156.0,0.637902896195391,47088.0,47745.0,103.099
Colorado,2014,5342212.0,309223900000.0,57883.12,3467715.0,0.6491159467276851,50251.0,50265.0,103.068
Colorado,2015,5441452.0,320895900000.0,58972.48,3574253.0,0.6568564787486869,51401.0,51351.0,103.048
Colorado,2016,5528510.0,330565900000.0,59792.95,3666709.0,0.6632363873810484,51312.0,50937.0,102.716
Colorado,2017,5599635.0,350209100000.0,62541.42,3760708.0,0.6715987738486526,54176.0,52749.0,102.946
Colorado,2018,5676918.0,373923100000.0,65867.27,3857981.0,0.679590756815582,57798.0,56590.0,100.29
Colorado,2019,5735797.0,397843600000.0,69361.52,3894321.0,0.678950283631028,61278.0,57869.0,102.491
Colorado,2020,5786873.0,396981100000.0,68600.28,3821182.0,0.6603189667373035,64704.0,59735.0,103.774
Colorado,2021,5814368.0,445781300000.0,76668.92,3987514.0,0.6858035129527406,71928.0,64359.0,102.765
Colorado,2022,5853355.0,499197400000.0,85283.98,4108115.0,0.7018393724624595,76685.0,64668.0,102.26
Colorado,2023,5912240.0,533268600000.0,90197.39,4250108.0,0.7188659459020608,80169.0,65363.0,101.856
Colorado,2024,5988502.0,557633000000.0,93117.28,4267582.0,0.7126293019523079,83055.0,65223.0,103.052
Connecticut,2008,3545579.0,236110700000.0,66592.99,2256077.0,0.6363070742465476,60543.0,61522.0,110.451
Connecticut,2009,3561807.0,231628000000.0,65031.04,2196171.0,0.6165889954172138,59586.0,60598.0,110.72
Connecticut,2010,3580281.0,234022200000.0,65364.2,2171940.0,0.606639534718085,61392.0,63477.0,106.999
Connecticut,2011,3594181.0,233058700000.0,64843.34,2206253.0,0.6138402601315849,62964.0,63006.0,107.834
Connecticut,2012,3605215.0,239907500000.0,66544.58,2223243.0,0.6166741789324631,63556.0,62569.0,107.595
Connecticut,2013,3610238.0,240549200000.0,66629.73,2246505.0,0.6222595297041359,62000.0,60162.0,107.731
Connecticut,2014,3614584.0,247114700000.0,68366.01,2266061.0,0.626921659587936,64484.0,62123.0,107.015
Connecticut,2015,3611891.0,260648500000.0,72164.0,2288144.0,0.6335030597545718,66222.0,63396.0,107.536
Connecticut,2016,3607614.0,264760400000.00003,73389.34,2301331.0,0.6379094326610331,67551.0,64086.0,107.477
Connecticut,2017,3607550.0,273875099999.99997,75917.2,2300273.0,0.6376274757106624,69147.0,64637.0,107.228
Connecticut,2018,3611229.0,280535400000.0,77684.19,2314465.0,0.6409078460546257,72159.0,68121.0,104.015
Connecticut,2019,3607133.0,286451900000.0,79412.62,2297925.0,0.6370502557016888,74176.0,69091.0,103.915
Connecticut,2020,3579643.0,278747900000.0,77870.31,2217480.0,0.6194695951523658,76826.0,70018.0,105.119
Connecticut,2021,3607765.0,297366000000.0,82423.88,2289367.0,0.6345665529767044,82152.0,73422.0,102.886
Connecticut,2022,3618707.0,321625200000.0,88878.49,2353654.0,0.6504129790005104,85411.0,69250.0,106.362
Connecticut,2023,3641369.0,341851800000.0,93880.02,2420056.0,0.6646005938975149,90235.0,71915.0,104.201
Connecticut,2024,3674449.0,356834900000.0,97112.49,2430624.0,0.6614934647344405,95067.0,74254.0,103.61
Delaware,2008,883874.0,55250800000.0,62509.81,544865.0,0.6164509873579266,41254.0,45956.0,100.753
Delaware,2009,891730.0,57729900000.0,64739.21,525596.0,0.5894115931952497,41056.0,45289.0,102.077
Delaware,2010,899773.0,58132200000.0,64607.63,522361.0,0.5805475381012767,41100.0,44778.0,101.545
Delaware,2011,908220.0,61379400000.0,67582.08,530360.0,0.5839554293012706,43779.0,47032.0,100.441
Delaware,2012,916654.0,62342100000.0,68010.5,534253.0,0.5828295081895677,43771.0,46566.0,99.566
Delaware,2013,925704.0,62058200000.0,67038.92,544691.0,0.5884073094639323,43943.0,46578.0,98.624
Delaware,2014,935278.0,68606000000.0,73353.59,556449.0,0.5949557243942443,45359.0,46900.0,99.708
Delaware,2015,944716.0,72352500000.0,76586.51,568832.0,0.6021195787940503,47238.0,49667.0,97.913
Delaware,2016,953146.0,70021500000.0,73463.56,578605.0,0.6070476086559666,48186.0,49892.0,98.478
Delaware,2017,961604.0,69555600000.0,72332.89,584693.0,0.6080392760429449,49997.0,50878.0,98.499
Delaware,2018,971152.0,73376000000.0,75555.63,597021.0,0.6147554656737565,52670.0,52109.0,99.252
Delaware,2019,981340.0,78710500000.0,80207.17,602769.0,0.6142305419120794,53778.0,52671.0,98.824
Delaware,2020,991890.0,77757200000.0,78392.97,592176.0,0.5970178144753955,55518.0,54952.0,96.791
Delaware,2021,1005130.0,83554700000.0,83128.25,619925.0,0.6167610159879816,59873.0,56509.0,97.425
Delaware,2022,1020279.0,97030400000.0,95101.83,642859.0,0.6300815757258553,64066.0,56371.0,98.007
Delaware,2023,1035354.0,103332500000.0,99804.03,669568.0,0.6467044122107029,64591.0,54314.0,98.759
